TF	Ligand(Target)	Receptor	Source
496	AR	WNT5A	ROR2	CellTalk
497	AR	WNT5A	PTPRK	CellTalk
498	AR	WNT5A	ADRB2	CellTalk
499	AR	WNT5A	FZD1	CellTalk
500	AR	WNT5A	FZD4	CellTalk
501	AR	WNT5A	FZD9	CellTalk
502	AR	WNT5A	FZD7	CellTalk
503	AR	WNT5A	FZD3	CellTalk
504	AR	WNT5A	FZD8	CellTalk
505	AR	WNT5A	FZD2	CellTalk
506	AR	WNT5A	ANTXR1	CellTalk
507	AR	WNT5A	FZD6	CellTalk
508	AR	WNT5A	LRP6	CellTalk
509	AR	WNT5A	LRP2	CellTalk
510	AR	WNT5A	MCAM	CellTalk
511	AR	SLIT2	GPC1	CellTalk
512	AR	SLIT2	ROBO4	CellTalk
513	AR	SLIT2	SDC1	CellTalk
514	AR	SLIT2	DCC	CellTalk
515	AR	SLIT2	ROBO2	CellTalk
516	AR	SLIT2	ROBO1	CellTalk
517	AR	GFRA2	RET	CellChat
518	AR	BMP6	HJV	CellTalk
519	AR	BMP6	BMPR2	CellTalk
520	AR	BMP6	BMPR1A	CellTalk
521	AR	BMP6	BMPR1B	CellTalk
522	AR	BMP6	ACVR2A	CellTalk
523	AR	BMP6	ACVR1	CellTalk
524	AR	RELN	ITGA3	CellTalk
525	AR	RELN	LRP8	CellTalk
526	AR	RELN	VLDLR	CellTalk
527	AR	RELN	ITGB1	CellTalk
528	AR	WNT3	RYK	CellTalk
529	AR	WNT3	LRP6	CellTalk
530	AR	WNT3	ROR2	CellTalk
531	AR	WNT3	FZD1	CellTalk
532	AR	WNT3	FZD7	CellTalk
533	AR	WNT3	FZD8	CellTalk
534	AR	WNT3	FZD5	CellTalk
535	AR	FZD1	LRP5	CellChat
536	AR	FZD1	LRP6	CellChat
537	AR	CD24	SELP	CellTalk
538	AR	CD24	SIGLEC10	CellTalk
539	AR	NRP2	PLXNA1	CellChat
540	AR	NRP2	PLXNA2	CellChat
541	AR	NRP2	PLXNA3	CellChat
542	AR	NRP2	PLXNA4	CellChat
543	AR	SEMA6A	PLXNA4	CellTalk
544	AR	SEMA6A	PLXNA2	CellTalk
545	AR	NTN1	UNC5D	CellTalk
546	AR	NTN1	UNC5B	CellTalk
547	AR	NTN1	DCC	CellTalk
548	AR	NTN1	UNC5A	CellTalk
549	AR	NTN1	ADORA2B	CellTalk
550	AR	NTN1	UNC5C	CellTalk
551	AR	NTN1	NEO1	CellTalk
552	AR	GFRA1	RET	CellChat
553	AR	PODXL	SELL	CellTalk
554	AR	BMP4	LRP6	CellTalk
555	AR	BMP4	BMPR2	CellTalk
556	AR	BMP4	BMPR1A	CellTalk
557	AR	BMP4	HJV	CellTalk
558	AR	BMP4	BMPR1B	CellTalk
